revisionId	branch	timestamp	comment	parent1	parent2
7492:f35d894b814f	infinica_5.1	Tue Sep 27 17:25:02 CEST 2016	Bogdan Mustiata	Better logging.	null	null
7491:279f0eceef13	infinica_5.1	Tue Sep 27 16:22:50 CEST 2016	Bogdan Mustiata	Try to keep the old structure for the operations.	null	null
7490:44e18bf29014	infinica_5.1	Tue Sep 27 13:47:43 CEST 2016	Bogdan Mustiata	Debug functions, fixed group index computing.	null	null
7489:e1ac91ec6c9a	infinica_5.1	Tue Sep 27 13:19:06 CEST 2016	Bogdan Mustiata	Added curry, more checks fixed simple insertion.	null	null
7488:1d17d1956332	infinica_5.1	Tue Sep 27 10:54:25 CEST 2016	Bogdan Mustiata	Recompiled CKEditor.	null	null
7487:99c9b3894a05	infinica_5.1	Tue Sep 27 16:55:19 CEST 2016	christopher.prengel@infinica.com	Merge	7486:d0254d968332	7486:d0254d968332
7486:d0254d968332	infinica_5.1	Tue Sep 27 16:52:08 CEST 2016	christopher.prengel@infinica.com	ReadMe_folder_information.txt:	7359:6f7d61c3fcf5	null
7485:a1f889e10e3c	infinica_5.0	Tue Sep 27 13:52:27 CEST 2016	mleitner	#TD-2293: Proper error message dialogue missing when exporting FO while XML cannot be found	null	null
7484:1ce683023482	infinica_5.0	Tue Sep 27 12:55:17 CEST 2016	mleitner	#TD-2296: Erros when selecting text in design view with CTRL+SHIFT+ARROWKEY	null	null
7483:45b354c62fe1	infinica_5.0	Mon Sep 26 18:17:45 CEST 2016	mleitner	#TD-2296: Erros when selecting text in design view with CTRL+SHIFT+ARROWKEY	7448:7f029cf77f05	null
7482:358a22ebb236	infinica_5.1	Tue Sep 27 12:55:17 CEST 2016	mleitner	#TD-2296: Erros when selecting text in design view with CTRL+SHIFT+ARROWKEY	7479:52a5622ed28a	null
7481:c4cffde721f1	infinica_5.1_tmertes	Tue Sep 27 10:34:55 CEST 2016	tmertes	Add test to concatenate XFA Forms.	null	null
7480:dccb78a77793	infinica_5.1_tmertes	Thu Sep 22 09:35:03 CEST 2016	tmertes	TD-2309: Add default values	7387:f3748fb7891e	null
7479:52a5622ed28a	infinica_5.1	Tue Sep 27 03:53:39 CEST 2016	christopher.prengel@infinica.com	Merge	7478:8aa6963b784d	7478:8aa6963b784d
7478:8aa6963b784d	infinica_5.1	Tue Sep 27 03:50:24 CEST 2016	christopher.prengel@infinica.com	ComposerDocumentSteps.py: add time to timer (this is legal)	7407:6798c9e9f7ff	null
7477:cfcb19c388c6	infinica_5.0_tthonhofer	Mon Sep 26 22:16:36 CEST 2016	tthonhofer	Merge with infinica_5.1	7476:58f33057edc4	7476:58f33057edc4
7476:58f33057edc4	infinica_5.0_tthonhofer	Mon Sep 26 21:58:39 CEST 2016	tthonhofer	Started Drag and drop support	7403:c8370c3d5510	null
7475:340afa7b5874	infinica_5.1_sso	Mon Sep 26 20:39:43 CEST 2016	mschedenig	Merge fixes.	null	null
7474:c037adc69f2a	infinica_5.1_sso	Mon Sep 26 16:40:14 CEST 2016	mschedenig	Merge with infinica_5.0_httpclient4	7472:7cc0a938eaa8	7472:7cc0a938eaa8
7473:9c2296bda1ae	infinica_5.0_httpclient4	Mon Sep 26 16:06:35 CEST 2016	mschedenig	Close infinica_5.0_httpclient4 branch	7463:52d0f05f4b97	null
7472:7cc0a938eaa8	infinica_5.1_sso	Mon Sep 26 16:04:46 CEST 2016	mschedenig	Moving SSO development to 5.1.	7461:f2f4b87f4c34	null
7471:fb067909a1d7	infinica_5.1	Mon Sep 26 18:17:45 CEST 2016	mleitner	#TD-2296: Erros when selecting text in design view with CTRL+SHIFT+ARROWKEY	null	null
7470:0f2ead2d30d1	infinica_5.1	Mon Sep 26 17:57:41 CEST 2016	Bogdan Mustiata	Check for editables.	null	null
7469:46e7a8b57c73	infinica_5.1	Mon Sep 26 17:32:21 CEST 2016	mleitner	added missing resources (names and icons)	null	null
7468:b9b4f10439bb	infinica_5.1	Mon Sep 26 17:16:10 CEST 2016	mleitner	#TD-2303: Can't render template due to ClassNotFoundException	null	null
7467:cbcbda4385ec	infinica_5.1	Mon Sep 26 16:38:15 CEST 2016	mleitner	fixed customer specific projects after merge	null	null
7466:d260218da282	infinica_5.1	Mon Sep 26 16:34:46 CEST 2016	mleitner	Merge with infinica_5.0	7465:84c95ef82004	7465:84c95ef82004
7465:84c95ef82004	infinica_5.1	Mon Sep 26 16:34:03 CEST 2016	mleitner	fixed customer specific projects after merge	null	null
7464:631aa712477c	infinica_5.1	Mon Sep 26 11:20:33 CEST 2016	mleitner	Merge with infinica_5.0	7461:f2f4b87f4c34	7461:f2f4b87f4c34
7463:52d0f05f4b97	infinica_5.0_httpclient4	Mon Sep 26 16:02:11 CEST 2016	mschedenig	Merge fixes.	null	null
7462:559bcf6d3ad9	infinica_5.0_httpclient4	Mon Sep 26 13:35:58 CEST 2016	mschedenig	Merge with infinica_5.0	7020:a790edee0c20	7020:a790edee0c20
7461:f2f4b87f4c34	infinica_5.1	Mon Sep 26 15:41:34 CEST 2016	totht	BB downcast inline	null	null
7460:0917f2be6279	infinica_5.1	Mon Sep 26 15:35:11 CEST 2016	Bogdan Mustiata	Insert HTML without moving the range.	null	null
7459:a3a8b8c2df23	infinica_5.1	Mon Sep 26 14:47:52 CEST 2016	mbranicky	Merge with infinica_5.1_mbranicky	7456:4cccfb168187	7456:4cccfb168187
7458:85a8ebe820bf	infinica_5.1_mbranicky	Mon Sep 26 14:46:49 CEST 2016	mbranicky	Merge with infinica_5.1	7457:a2aff0258a21	7457:a2aff0258a21
7457:a2aff0258a21	infinica_5.1_mbranicky	Mon Sep 26 14:40:40 CEST 2016	mbranicky	WP-857 Implement a possibility to manage HT comments - add/edit/remove done.	7437:0df9a62a95f3	null
7456:4cccfb168187	infinica_5.1	Mon Sep 26 14:02:34 CEST 2016	Bogdan Mustiata	BB groups are registered correctly on creation on the IP.	null	null
7455:e6e2c2349f5f	infinica_5.1	Mon Sep 26 09:54:56 CEST 2016	Bogdan Mustiata	More work on the operations.	null	null
7454:96017618da8a	infinica_5.1	Fri Sep 23 16:08:39 CEST 2016	Bogdan Mustiata	Made the factory static. More work on the BB insert operations.	null	null
7453:b7470eb11e25	infinica_5.1	Mon Sep 26 13:43:26 CEST 2016	Matej Kovalik	Merge from infinica_5.1_mkovalik	7447:b8014bfa81a3	7447:b8014bfa81a3
7452:224cc3ee7c11	infinica_5.1_mkovalik	Mon Sep 26 13:41:33 CEST 2016	Matej Kovalik	Merge from infinica_5.1	7451:a95fdfaf62c1	7451:a95fdfaf62c1
7451:a95fdfaf62c1	infinica_5.1_mkovalik	Mon Sep 26 13:33:26 CEST 2016	Matej Kovalik	WP-867 - Enable FTP access anonymously (FTP IHT)	null	null
7450:d6f6ccdc8a20	infinica_5.1_mkovalik	Mon Sep 26 13:21:48 CEST 2016	Matej Kovalik	WP-868 - Show the root folder if ftpRoot not specified	null	null
7449:13dd8df819af	infinica_5.1_mkovalik	Mon Sep 26 12:53:40 CEST 2016	Matej Kovalik	WP-869 - Not possible to navigate FTP folder structure (FTP IHT)	7431:8f98061f237d	null
7448:7f029cf77f05	infinica_5.0	Mon Sep 26 13:36:55 CEST 2016	mleitner	added ErsteBank security code (ALFA), fixed some compile problems	7444:c1f6e6bc79f1	null
7447:b8014bfa81a3	infinica_5.1	Mon Sep 26 13:34:12 CEST 2016	totht	Missing promise spec from CKWidgetWrapper	null	null
7446:5831e84d2fe4	infinica_5.1	Mon Sep 26 13:12:03 CEST 2016	totht	BuildingBlock deletion	null	null
7445:e202b5247017	infinica_5.1	Mon Sep 26 12:41:27 CEST 2016	tthonhofer	Merge with infinica_5.1_tthonhofer	7435:e617395393bc	7435:e617395393bc
7444:c1f6e6bc79f1	infinica_5.0	Mon Sep 26 12:17:17 CEST 2016	mleitner	added ErsteBank security code (ALFA), fixed some compile problems	null	null
7443:ef2e1e253d23	infinica_5.0	Mon Sep 26 12:13:30 CEST 2016	mleitner	added ErsteBank security code (ALFA), fixed some compile problems	7440:9a56d5493057	null
7442:290b91698120	infinica_5.1_tthonhofer	Mon Sep 26 12:40:35 CEST 2016	tthonhofer	PD: Fixed compilation errors after changes in PE model	null	null
7441:f21321799dd8	infinica_5.1_tthonhofer	Mon Sep 26 11:53:12 CEST 2016	tthonhofer	Merge with infinica_5.1	7401:ddc5606bcef4	7401:ddc5606bcef4
7440:9a56d5493057	infinica_5.0	Mon Sep 26 11:47:54 CEST 2016	mleitner	added ErsteBank security code (ALFA)	null	null
7439:26680ee60d83	infinica_5.0	Mon Sep 26 11:18:05 CEST 2016	mleitner	code cleanup in customer projects	null	null
7438:a93107dc8793	infinica_5.0	Mon Sep 26 11:17:43 CEST 2016	mleitner	code cleanup in customer projects	7411:a95d81aaba1d	null
7437:0df9a62a95f3	infinica_5.1_mbranicky	Fri Sep 23 19:03:05 CEST 2016	mbranicky	Merge with infinica_5.1	7436:d938e57a1633	7436:d938e57a1633
7436:d938e57a1633	infinica_5.1_mbranicky	Fri Sep 23 18:53:02 CEST 2016	mbranicky	WP-857 Implement a possibility to manage HT comments - not yet finished.	7420:38ebb52f538d	null
7435:e617395393bc	infinica_5.1	Fri Sep 23 14:28:26 CEST 2016	totht	BB operation	null	null
7434:586a76cc51ab	infinica_5.1	Fri Sep 23 17:53:00 CEST 2016	Michal Oravec	Merge	7433:c2346ddc5610	7433:c2346ddc5610
7433:c2346ddc5610	infinica_5.1	Fri Sep 23 17:51:29 CEST 2016	Michal Oravec	WP test suite update	7379:b11918a667cc	null
7432:27b182780734	infinica_5.1	Fri Sep 23 16:45:16 CEST 2016	Matej Kovalik	Merge from infinica_5.1_mkovalik	7428:5f0b0539256f	7428:5f0b0539256f
7431:8f98061f237d	infinica_5.1_mkovalik	Fri Sep 23 16:42:47 CEST 2016	Matej Kovalik	Merge from infinica_5.1	7430:699f26a0d3b7	7430:699f26a0d3b7
7430:699f26a0d3b7	infinica_5.1_mkovalik	Fri Sep 23 16:40:20 CEST 2016	Matej Kovalik	WP-862 - Tomcat will not shutdown normally	null	null
7429:a17a686d9489	infinica_5.1_mkovalik	Fri Sep 23 16:17:11 CEST 2016	Matej Kovalik	WP-864 - Enable multi-select-allowed setup to false (Document List IHT)	7385:fd09700f4507	null
7428:5f0b0539256f	infinica_5.1	Fri Sep 23 12:24:37 CEST 2016	Matej Kovalik	Merge from infinica_5.1_mkovalik	null	null
7427:613cf84feb07	infinica_5.1	Fri Sep 23 12:22:30 CEST 2016	Matej Kovalik	WP-872 Allow vaadin HTs to be instantiated just by name	null	null
7426:4d9f68733682	infinica_5.1	Fri Sep 23 12:08:53 CEST 2016	Bogdan Mustiata	Added the overlay rendering of context menus into the workplace project. Fixed Context menu appearance.	null	null
7425:60580d36e608	infinica_5.1	Thu Sep 22 19:05:27 CEST 2016	totht	BB operation	null	null
7424:a7d489f8ad24	infinica_5.1	Thu Sep 22 14:30:37 CEST 2016	totht	BB tune up	null	null
7423:d1f11e62827c	infinica_5.1	Thu Sep 22 17:59:00 CEST 2016	mschedenig	Merge with infinica_5.1_mschedenig	7421:96d3dafafaf0	7421:96d3dafafaf0
7422:3156a6f099a9	infinica_5.1_mschedenig	Thu Sep 22 17:58:10 CEST 2016	mschedenig	Removed ugly intermediate Mapping class in PE JAXB classes.	7415:d5ea5c8358ce	null
7421:96d3dafafaf0	infinica_5.1	Thu Sep 22 17:42:07 CEST 2016	mbranicky	Merge with infinica_5.1_mbranicky	7417:6447ea511ec9	7417:6447ea511ec9
7420:38ebb52f538d	infinica_5.1_mbranicky	Thu Sep 22 17:41:16 CEST 2016	mbranicky	Merge with infinica_5.1	7419:859ee88a41e8	7419:859ee88a41e8
7419:859ee88a41e8	infinica_5.1_mbranicky	Thu Sep 22 17:34:22 CEST 2016	mbranicky	WP-857 Implement a possibility to manage HT comments - not yet finished.	null	null
7418:2572013a47d4	infinica_5.1_mbranicky	Thu Sep 22 17:30:43 CEST 2016	mbranicky	WP-857 Implement a possibility to manage HT comments - not yet finished.	7392:4eb4b5957f73	null
7417:6447ea511ec9	infinica_5.1	Thu Sep 22 17:30:18 CEST 2016	Bogdan Mustiata	Merge with infinica_5.0	7416:a8b64b04520e	7416:a8b64b04520e
7416:a8b64b04520e	infinica_5.1	Thu Sep 22 16:28:21 CEST 2016	mschedenig	Merge with infinica_5.1_mschedenig	7407:6798c9e9f7ff	7407:6798c9e9f7ff
7415:d5ea5c8358ce	infinica_5.1_mschedenig	Thu Sep 22 16:27:49 CEST 2016	mschedenig	Merge with infinica_5.1	7414:d123925d8698	7414:d123925d8698
7414:d123925d8698	infinica_5.1_mschedenig	Thu Sep 22 14:45:40 CEST 2016	mschedenig	Dependency fixes.	null	null
7413:dfd702985cd6	infinica_5.1_mschedenig	Thu Sep 22 14:07:26 CEST 2016	mschedenig	Merge with infinica_5.1	7412:55392f9828dd	7412:55392f9828dd
7412:55392f9828dd	infinica_5.1_mschedenig	Thu Sep 22 14:06:47 CEST 2016	mschedenig	PE modules can now have dependencies. Modules are initialised in dependency order.	7397:52ae5b656d99	null
7411:a95d81aaba1d	infinica_5.0	Thu Sep 22 16:01:35 CEST 2016	Bogdan Mustiata	Implemented #INFC-1586. Allow save via PE call.	null	null
7410:8727a1a716fd	infinica_5.0	Thu Sep 22 15:06:04 CEST 2016	Bogdan Mustiata	Allow hardcoded users for Composer.	null	null
7409:0be0c69da126	infinica_5.0	Wed Sep 21 17:33:01 CEST 2016	Bogdan Mustiata	WIP #INFC-1586. Created YUI module for the PE call, added I18N for the regular save.	null	null
7408:e5400a5ef482	infinica_5.0	Wed Sep 21 17:30:47 CEST 2016	Bogdan Mustiata	Allow configuring the postback save buttons independently.	7406:e50a21e0ee6c	null
7407:6798c9e9f7ff	infinica_5.1	Thu Sep 22 14:19:02 CEST 2016	Matej Kovalik	Merge from infinica_5.0	7400:8a79657282aa	7400:8a79657282aa
7406:e50a21e0ee6c	infinica_5.0	Thu Sep 22 14:12:09 CEST 2016	Matej Kovalik	Merge from infinica_5.0	7377:5ddb44db234b	7377:5ddb44db234b
7405:48eefaecc9be	infinica_5.0_mkovalik	Thu Sep 22 14:06:35 CEST 2016	Matej Kovalik	WP-865 - missing validation on template	null	null
7404:f144630c7faf	infinica_5.0_mkovalik	Wed Sep 21 14:55:52 CEST 2016	Matej Kovalik	Merge from infinica_5.0	7001:b5ea2aa4d51a	7001:b5ea2aa4d51a
7403:c8370c3d5510	infinica_5.0_tthonhofer	Thu Sep 22 14:06:27 CEST 2016	tthonhofer	Merge with infinica_5.1	7402:63efb8187b26	7402:63efb8187b26
7402:63efb8187b26	infinica_5.0_tthonhofer	Thu Sep 22 14:04:58 CEST 2016	tthonhofer	PD: Mapping creation in editor	7315:6255f17e6fcd	null
7401:ddc5606bcef4	infinica_5.1_tthonhofer	Thu Sep 22 14:08:32 CEST 2016	tthonhofer	Merge with infinica_5.1	7202:0659aeafc8ba	7202:0659aeafc8ba
7400:8a79657282aa	infinica_5.1	Thu Sep 22 14:01:35 CEST 2016	tthonhofer	Merge	7399:dfd633f5f599	7399:dfd633f5f599
7399:dfd633f5f599	infinica_5.1	Thu Sep 22 14:01:03 CEST 2016	tthonhofer	PD: Implemented Help view	7381:0bc95d8d058c	null
7398:c7907cbd2724	infinica_5.1	Wed Sep 21 19:59:36 CEST 2016	mschedenig	Merge with infinica_5.1_mschedenig	7393:9120d98d9caf	7393:9120d98d9caf
7397:52ae5b656d99	infinica_5.1_mschedenig	Wed Sep 21 19:59:11 CEST 2016	mschedenig	Merge with infinica_5.1	7396:8f1514316729	7396:8f1514316729
7396:8f1514316729	infinica_5.1_mschedenig	Wed Sep 21 16:34:50 CEST 2016	mschedenig	Activity parameter resolvers.	null	null
7395:503d2370b5b6	infinica_5.1_mschedenig	Wed Sep 21 12:48:52 CEST 2016	mschedenig	Merge with infinica_5.0	7394:4e622abc4cab	7394:4e622abc4cab
7394:4e622abc4cab	infinica_5.1_mschedenig	Wed Sep 21 12:48:35 CEST 2016	mschedenig	Merge with infinica_5.1	7351:72339c8d96a1	7351:72339c8d96a1
7393:9120d98d9caf	infinica_5.1	Wed Sep 21 18:25:15 CEST 2016	totht	Synchronize clean-up running	7391:6e0369c56056	null
7392:4eb4b5957f73	infinica_5.1_mbranicky	Wed Sep 21 15:56:04 CEST 2016	mbranicky	WP-871 Popup menus (including comment) appends (overwrites) hash in the URL	7334:19fe64aa746d	null
7391:6e0369c56056	infinica_5.1	Wed Sep 21 15:23:49 CEST 2016	totht	Adding filter for removing br-s from widget p-s	null	null
7390:66080d1f1c0e	infinica_5.1	Wed Sep 21 11:09:30 CEST 2016	totht	Change table row and column defaults	null	null
7389:c6dcf67afd8c	infinica_5.1	Wed Sep 21 13:36:07 CEST 2016	Bogdan Mustiata	Added images	null	null
7388:5755b5ecf5c8	infinica_5.1	Tue Sep 20 17:13:20 CEST 2016	Bogdan Mustiata	Ajax calls fire.	7386:0361fb94f7d6	null
7387:f3748fb7891e	infinica_5.1_tmertes	Wed Sep 21 14:06:32 CEST 2016	tmertes	Merge with infinica_5.1	7374:73445cc4b34f	7374:73445cc4b34f
7386:0361fb94f7d6	infinica_5.1	Wed Sep 21 11:51:13 CEST 2016	Matej Kovalik	Merge from infinica_5.1_mkovalik	7379:b11918a667cc	7379:b11918a667cc
7385:fd09700f4507	infinica_5.1_mkovalik	Wed Sep 21 11:49:39 CEST 2016	Matej Kovalik	Merge from infinica_5.1	7384:23554776b9cc	7384:23554776b9cc
7384:23554776b9cc	infinica_5.1_mkovalik	Tue Sep 20 14:01:11 CEST 2016	Matej Kovalik	WP-865 - missing validation on template	null	null
7383:3177203b28f4	infinica_5.1_mkovalik	Tue Sep 20 13:32:53 CEST 2016	Matej Kovalik	WP-863 - multi-select-allowed issues	null	null
7382:8826c3ee0aa0	infinica_5.1_mkovalik	Mon Sep 19 18:05:07 CEST 2016	Matej Kovalik	Merge from infinica_5.1	7355:e75264e66b3d	7355:e75264e66b3d
7381:0bc95d8d058c	infinica_5.1	Wed Sep 21 00:15:02 CEST 2016	tthonhofer	Merge	7380:bdcd01a5e75d	7380:bdcd01a5e75d
7380:bdcd01a5e75d	infinica_5.1	Wed Sep 21 00:11:54 CEST 2016	tthonhofer	Fixed Problem loading backend classes from eclipse plugins	7325:861bd2a351b6	null
7379:b11918a667cc	infinica_5.1	Tue Sep 20 18:39:42 CEST 2016	Michal Oravec	Merge	7378:71d6428a22b3	7378:71d6428a22b3
7378:71d6428a22b3	infinica_5.1	Tue Sep 20 18:38:00 CEST 2016	Michal Oravec	WP tests - fixes and speed-up	7230:54a1005de278	null
7377:5ddb44db234b	infinica_5.0	Tue Sep 20 17:31:33 CEST 2016	mschedenig	CP-171: Fixed.	7361:9edeb6ee4032	null
7376:5c72dcbe938b	infinica_5.1	Tue Sep 20 16:38:19 CEST 2016	Bogdan Mustiata	Use promises to initialize the widgets correctly.	null	null
7375:16bdb2a00d64	infinica_5.1	Tue Sep 20 16:17:27 CEST 2016	totht	Building block downcast	7373:82ea4d9b0ad0	null
7374:73445cc4b34f	infinica_5.1_tmertes	Tue Sep 20 15:05:48 CEST 2016	tmertes	Merge with infinica_5.1	7372:f7a650bff549	7372:f7a650bff549
7373:82ea4d9b0ad0	infinica_5.1	Tue Sep 20 15:04:48 CEST 2016	tmertes	Merge with infinica_5.1_tmertes	7369:04c6951237a8	7369:04c6951237a8
7372:f7a650bff549	infinica_5.1_tmertes	Tue Sep 20 15:03:54 CEST 2016	tmertes	Merge with infinica_5.1	7371:4fea409186ee	7371:4fea409186ee
7371:4fea409186ee	infinica_5.1_tmertes	Tue Sep 20 15:03:14 CEST 2016	tmertes	TD-2307: RE embedded can't establish repository connection due to NoClassDefFoundError	null	null
7370:fe33c176a3d5	infinica_5.1_tmertes	Tue Sep 20 12:56:22 CEST 2016	tmertes	Merge with infinica_5.1	7365:248d3d28a483	7365:248d3d28a483
7369:04c6951237a8	infinica_5.1	Tue Sep 20 12:26:20 CEST 2016	totht	#INFC-1566 - Adding BB thru ckeditor API	null	null
7368:b50485ec6040	infinica_5.1	Tue Sep 20 12:12:58 CEST 2016	Bogdan Mustiata	Fix the init order call.	7366:6ccb9a8138aa	null
7367:99ae764cee5c	infinica_5.0_tmertes	Tue Sep 20 12:05:39 CEST 2016	tmertes	Merge with infinica_5.0	7360:4f1806e676aa	7360:4f1806e676aa
7366:6ccb9a8138aa	infinica_5.1	Tue Sep 20 11:48:11 CEST 2016	Bogdan Mustiata	Fix #INFC-1582, Image upload is now working.	7364:0bb7944f5801	null
7365:248d3d28a483	infinica_5.1_tmertes	Tue Sep 20 11:10:01 CEST 2016	tmertes	Merge with infinica_5.1	7363:33d448909b22	7363:33d448909b22
7364:0bb7944f5801	infinica_5.1	Tue Sep 20 11:09:06 CEST 2016	tmertes	Merge with infinica_5.1_tmertes	7359:6f7d61c3fcf5	7359:6f7d61c3fcf5
7363:33d448909b22	infinica_5.1_tmertes	Tue Sep 20 11:08:04 CEST 2016	tmertes	Merge with infinica_5.0	7362:0a244f54b3ae	7362:0a244f54b3ae
7362:0a244f54b3ae	infinica_5.1_tmertes	Tue Sep 20 11:06:38 CEST 2016	tmertes	Merge with infinica_5.1	7206:f0e8a6a67f1b	7206:f0e8a6a67f1b
7361:9edeb6ee4032	infinica_5.0	Tue Sep 20 11:04:17 CEST 2016	tmertes	Merge with infinica_5.0_tmertes	7336:263c7dd25244	7336:263c7dd25244
7360:4f1806e676aa	infinica_5.0_tmertes	Tue Sep 20 11:02:00 CEST 2016	tmertes	TD-2306: Add colum width field to table creation dialog	7337:3a48ef7c6585	null
7359:6f7d61c3fcf5	infinica_5.1	Mon Sep 19 18:04:51 CEST 2016	christopher.prengel@infinica.com	Merge	7358:c54068bfb016	7358:c54068bfb016
7358:c54068bfb016	infinica_5.1	Mon Sep 19 18:03:55 CEST 2016	christopher.prengel@infinica.com	ComposerDocumentSteps.py: add import	null	null
7357:ad7f84e001db	infinica_5.1	Mon Sep 19 18:01:05 CEST 2016	christopher.prengel@infinica.com	Det-insert-N.feature now uses a reduced DET itx to make it somewhat faster in	7321:d62e4f53316a	null
7356:5e487031f67c	infinica_5.1	Mon Sep 19 17:58:22 CEST 2016	Matej Kovalik	Merge from infinica_5.1	7352:fc5bfa9c9e75	7352:fc5bfa9c9e75
7355:e75264e66b3d	infinica_5.1_mkovalik	Mon Sep 19 17:36:57 CEST 2016	Matej Kovalik	WP-826 - Slow BC page on real ICR	null	null
7354:46a199beac7f	infinica_5.1_mkovalik	Mon Sep 19 14:14:28 CEST 2016	Matej Kovalik	keep the taskManager client as instance variable	null	null
7353:6f6af0185633	infinica_5.1_mkovalik	Mon Sep 19 11:46:28 CEST 2016	Matej Kovalik	Merge from infinica_5.1_mkovalik	7269:c3eaaf3e1c94	7269:c3eaaf3e1c94
7352:fc5bfa9c9e75	infinica_5.1	Mon Sep 19 17:56:32 CEST 2016	mschedenig	Merge with infinica_5.1_mschedenig	7350:e216fb75572e	7350:e216fb75572e
7351:72339c8d96a1	infinica_5.1_mschedenig	Mon Sep 19 17:55:58 CEST 2016	mschedenig	Activity interface documentation and some minor activity implementation improvements.	7348:9638abb8a31a	null
7350:e216fb75572e	infinica_5.1	Mon Sep 19 16:44:46 CEST 2016	mschedenig	Merge	7343:aa41a2655f25	7343:aa41a2655f25
7349:b5de72e9b968	infinica_5.1	Mon Sep 19 16:43:18 CEST 2016	mschedenig	Merge with infinica_5.1_mschedenig	7340:249dab77d426	7340:249dab77d426
7348:9638abb8a31a	infinica_5.1_mschedenig	Mon Sep 19 16:42:52 CEST 2016	mschedenig	Merge with infinica_5.1	7347:65419f325e75	7347:65419f325e75
7347:65419f325e75	infinica_5.1_mschedenig	Mon Sep 19 16:42:35 CEST 2016	mschedenig	Added JSON module to PE distribution.	null	null
7346:4b23c41f255d	infinica_5.1_mschedenig	Mon Sep 19 16:39:30 CEST 2016	mschedenig	JSON type improvements.	null	null
7345:fbdf6ec0615a	infinica_5.1_mschedenig	Mon Sep 19 13:32:58 CEST 2016	mschedenig	Merge with infinica_5.1	7344:48e1c26c3e4f	7344:48e1c26c3e4f
7344:48e1c26c3e4f	infinica_5.1_mschedenig	Mon Sep 19 13:32:18 CEST 2016	mschedenig	JSON type conversion improvements.	7299:e0aa9207c928	null
7343:aa41a2655f25	infinica_5.1	Mon Sep 19 16:40:04 CEST 2016	totht	Update widget node reference	null	null
7342:431e4ebdc0d3	infinica_5.1	Mon Sep 19 16:00:28 CEST 2016	totht	#INFC-1585 - Make internal link support	null	null
7341:3bd4f514d625	infinica_5.1	Mon Sep 19 14:44:59 CEST 2016	totht	#INFC-1583 - Make external link support	null	null
7340:249dab77d426	infinica_5.1	Mon Sep 19 16:24:13 CEST 2016	Bogdan Mustiata	Fixed insertion point handle location.	null	null
7339:2896aecb5078	infinica_5.1	Mon Sep 19 16:21:56 CEST 2016	Bogdan Mustiata	More cleanups.	null	null
7338:dce084e99c3b	infinica_5.1	Mon Sep 19 16:02:51 CEST 2016	Bogdan Mustiata	Cleanups, use widgetNode/wrapperNode/contentNode for our document widgets.	7332:15be2253fc5c	null
7337:3a48ef7c6585	infinica_5.0_tmertes	Mon Sep 19 15:20:08 CEST 2016	tmertes	Merge with infinica_5.0	7335:adc9509a6033	7335:adc9509a6033
7336:263c7dd25244	infinica_5.0	Mon Sep 19 15:18:02 CEST 2016	tmertes	Merge with infinica_5.0_tmertes	7329:a196e0a9c423	7329:a196e0a9c423
7335:adc9509a6033	infinica_5.0_tmertes	Mon Sep 19 15:15:57 CEST 2016	tmertes	TD-2306: Add colum width field to table creation dialog	7330:3d90898d0a46	null
7334:19fe64aa746d	infinica_5.1_mbranicky	Mon Sep 19 14:42:31 CEST 2016	mbranicky	Merge with infinica_5.1	7333:e4e59187bb5f	7333:e4e59187bb5f
7333:e4e59187bb5f	infinica_5.1_mbranicky	Mon Sep 19 14:41:25 CEST 2016	mbranicky	WP-857 Implement a possibility to manage HT comments	7324:93b5aff75d16	null
7332:15be2253fc5c	infinica_5.1	Mon Sep 19 14:30:08 CEST 2016	Bogdan Mustiata	IP save/load seems to be working.	null	null
7331:8c0153933c4c	infinica_5.1	Mon Sep 19 11:27:52 CEST 2016	Bogdan Mustiata	InsertionPoints are now with the full content inlined.	7326:a422a4f1f706	null
7330:3d90898d0a46	infinica_5.0_tmertes	Mon Sep 19 11:48:14 CEST 2016	tmertes	Merge with infinica_5.0	7328:725336d3d8a3	7328:725336d3d8a3
7329:a196e0a9c423	infinica_5.0	Mon Sep 19 11:47:26 CEST 2016	tmertes	Merge with infinica_5.0_tmertes	7309:1f4228c42631	7309:1f4228c42631
7328:725336d3d8a3	infinica_5.0_tmertes	Mon Sep 19 11:46:13 CEST 2016	tmertes	Merge with infinica_5.0	7327:f15118609b4f	7327:f15118609b4f
7327:f15118609b4f	infinica_5.0_tmertes	Mon Sep 19 11:45:02 CEST 2016	tmertes	TD-2306: Use jface Dialog directly instead of via PropertiesDialog.	7306:83bfe0bab13f	null
7326:a422a4f1f706	infinica_5.1	Mon Sep 19 11:17:27 CEST 2016	Matej Kovalik	compilation fixes	null	null
7325:861bd2a351b6	infinica_5.1	Mon Sep 19 11:08:13 CEST 2016	tthonhofer	Merge	7311:a4ab3c189e2c	7311:a4ab3c189e2c
7324:93b5aff75d16	infinica_5.1_mbranicky	Mon Sep 19 10:23:36 CEST 2016	mbranicky	Merge with infinica_5.1	7322:e57721d2d320	7322:e57721d2d320
7323:74c6bc4c7155	infinica_5.1	Mon Sep 19 09:57:56 CEST 2016	mbranicky	Uncommented the version for ?net.sf.json-lib. Let's see whether Webfronted Build will pass.	7321:d62e4f53316a	null
